tanggal,maskapai,nomor_penerbangan,cabang,area,kategori,uraian_kejadian,akar_masalah,subkategori,status
2026-01-12,JT,JT552,KNO,Apron,Passenger,Penumpang terlambat check-in melewati batas waktu yang ditentukan dan meminta pengecualian. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,External Factor,Denied Boarding,OPEN
2026-01-13,ID,ID696,SOC,Landside,Baggage,"Bagasi terlambat tiba, ketinggalan penerbangan sebelumnya akibat kapasitas berlebih. Petugas yang bertugas langsung melaporkan ke supervisor shift.",Incorrect Tag,Delayed Baggage,RESOLVED
2026-01-15,ID,ID187,UPG,Airside,Baggage,Penumpang melaporkan koper tidak ditemukan di belt bagasi setelah penerbangan ID187.,High Volume,Damaged Baggage,RESOLVED
2026-01-15,QG,QG632,KNO,Landside,Baggage,Penumpang melaporkan koper tidak ditemukan di belt bagasi setelah penerbangan QG632. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Communication Failure,Lost & Found,CLOSED
2026-01-15,IN,IN915,BPN,Airside,Baggage,Penumpang melaporkan koper tidak ditemukan di belt bagasi setelah penerbangan IN915. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,High Volume,Delayed Baggage,CLOSED
2026-01-15,IW,IW750,PKU,Terminal 3,Passenger,Penumpang bersikap tidak kooperatif dan menolak mengikuti prosedur keamanan bandara. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Human Error,WCHR Request,CLOSED
2026-01-17,JT,JT385,BPN,Apron,Passenger,Penumpang ditolak boarding karena dokumen perjalanan tidak lengkap atau tidak valid.,Human Error,Denied Boarding,CLOSED
2026-01-18,IW,IW805,KNO,Airside,Equipment,Catering truck terlambat tiba di pesawat sehingga menyebabkan keterlambatan keberangkatan. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Equipment Malfunction,Catering Truck Delay,PENDING
2026-01-18,IW,IW257,PKU,Terminal 1,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in. Kejadian terjadi pada pukul 15:00 WIB.,High Volume,Damaged Baggage,CLOSED
2026-01-19,QG,QG476,SOC,Landside,Ramp,Tumpahan bahan bakar avtur terdeteksi di area apron setelah proses refueling selesai.,External Factor,Equipment Damage,CLOSED
2026-01-20,SJ,SJ395,SUB,Terminal 3,Equipment,Catering truck terlambat tiba di pesawat sehingga menyebabkan keterlambatan keberangkatan. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,External Factor,Belt Loader Issue,RESOLVED
2026-01-21,IN,IN177,UPG,Apron,Documentation,Boarding pass diterbitkan dengan gate yang salah sehingga menyebabkan kebingungan penumpang. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,System Error,Weight & Balance Error,CLOSED
2026-01-21,QG,QG256,SUB,Apron,Ramp,Petugas tidak berkepentingan terdeteksi memasuki area restricted ramp tanpa izin. Kejadian terjadi pada pukul 07:00 WIB.,Human Error,Unauthorized Access,RESOLVED
2026-01-23,QG,QG682,PLM,Terminal 2,Ramp,Petugas tidak berkepentingan terdeteksi memasuki area restricted ramp tanpa izin.,External Factor,Wing Clearance,CLOSED
2026-01-23,JT,JT240,MDC,Airside,Equipment,Pushback tractor mengalami kerusakan mendadak sehingga proses pushback terpaksa ditunda.,Maintenance Overdue,Catering Truck Delay,CLOSED
2026-01-23,ID,ID151,DPS,Apron,Baggage,"Bagasi penumpang ditemukan rusak, handle patah dan zipper terbuka saat tiba di DPS. Kejadian terjadi pada pukul 12:15 WIB.",Conveyor Belt Malfunction,Misrouted Baggage,RESOLVED
2026-01-25,ID,ID512,SOC,Terminal 2,Ramp,Ditemukan benda asing (FOD) berupa baut logam di area apron sebelum pushback pesawat ID512.,Procedure Non-Compliance,FOD Found,RESOLVED
2026-01-25,SJ,SJ967,PKU,Apron,Ramp,Tumpahan bahan bakar avtur terdeteksi di area apron setelah proses refueling selesai.,Procedure Non-Compliance,FOD Found,CLOSED
2026-01-27,QG,QG421,SUB,Terminal 1,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku.,External Factor,Deportee Handling,RESOLVED
2026-01-29,IW,IW308,MDC,Terminal 1,Passenger,Penumpang bersikap tidak kooperatif dan menolak mengikuti prosedur keamanan bandara. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Human Error,WCHR Request,PENDING
2026-01-29,GA,GA675,MDC,Apron,Equipment,Garbarata tidak dapat bergerak normal saat proses docking akibat kerusakan motor penggerak.,Equipment Malfunction,Airbridge Malfunction,CLOSED
2026-01-30,ID,ID155,CGK,Landside,Documentation,Terjadi kesalahan input data penumpang pada sistem DCS sehingga boarding pass tidak valid.,Communication Failure,Missing Manifest,CLOSED
2026-01-30,GA,GA151,PLM,Airside,Baggage,Penumpang melaporkan koper tidak ditemukan di belt bagasi setelah penerbangan GA151.,High Volume,Damaged Baggage,PENDING
2026-01-30,GA,GA116,MDC,Landside,Documentation,Terdapat selisih data berat muatan antara load sheet dan data aktual di bagasi hold.,Procedure Non-Compliance,Missing Manifest,CLOSED
2026-01-30,SJ,SJ228,PLM,Airside,Passenger,Penumpang bersikap tidak kooperatif dan menolak mengikuti prosedur keamanan bandara. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,System Error,WCHR Request,PENDING
2026-02-01,SJ,SJ406,UPG,Terminal 3,Passenger,Penumpang terlambat check-in melewati batas waktu yang ditentukan dan meminta pengecualian.,Communication Failure,Deportee Handling,RESOLVED
2026-02-01,SJ,SJ646,SOC,Apron,Documentation,Penumpang no-show tidak tercatat dengan benar sehingga bagasi tidak di-offload tepat waktu. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Human Error,Incorrect Boarding Pass,OPEN
2026-02-02,IW,IW750,PKU,Terminal 1,Ramp,Ditemukan benda asing (FOD) berupa baut logam di area apron sebelum pushback pesawat IW750. Kejadian terjadi pada pukul 14:45 WIB.,Equipment Malfunction,Wing Clearance,CLOSED
2026-02-03,IN,IN459,UPG,Airside,Baggage,"Bagasi terlambat tiba, ketinggalan penerbangan sebelumnya akibat kapasitas berlebih.",Incorrect Tag,Delayed Baggage,OPEN
2026-02-04,JT,JT321,SUB,Airside,Equipment,Garbarata tidak dapat bergerak normal saat proses docking akibat kerusakan motor penggerak.,Maintenance Overdue,Airbridge Malfunction,CLOSED
2026-02-05,IW,IW575,DPS,Apron,Documentation,Boarding pass diterbitkan dengan gate yang salah sehingga menyebabkan kebingungan penumpang. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Human Error,DCS Error,CLOSED
2026-02-06,ID,ID324,KNO,Landside,Ramp,Petugas tidak berkepentingan terdeteksi memasuki area restricted ramp tanpa izin. Kejadian terjadi pada pukul 07:00 WIB.,External Factor,Wing Clearance,CLOSED
2026-02-07,IN,IN873,PLM,Landside,Documentation,Terdapat selisih data berat muatan antara load sheet dan data aktual di bagasi hold. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Procedure Non-Compliance,No-Show Record,CLOSED
2026-02-07,JT,JT783,SUB,Landside,Passenger,Permintaan kursi roda untuk penumpang berkebutuhan khusus tidak tertangani sesuai SOP. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Communication Failure,WCHR Request,PENDING
2026-02-08,ID,ID462,CGK,Terminal 2,Equipment,"GPU tidak berfungsi saat dibutuhkan untuk power pesawat sebelum APU start, menyebabkan delay. Petugas yang bertugas langsung melaporkan ke supervisor shift.",Maintenance Overdue,Pushback Delay,CLOSED
2026-02-08,IW,IW323,DPS,Terminal 3,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in. Kejadian terjadi pada pukul 16:15 WIB.,Human Error,Excess Baggage,CLOSED
2026-02-09,IW,IW372,BPN,Terminal 3,Ramp,Terjadi benturan antara Ground Support Equipment (GSE) dan fuselage pesawat saat parking.,Equipment Malfunction,Wing Clearance,CLOSED
2026-02-09,SJ,SJ989,KNO,Terminal 2,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Communication Failure,Damaged Baggage,OPEN
2026-02-10,GA,GA371,SOC,Airside,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,System Error,Unruly Passenger,RESOLVED
2026-02-11,GA,GA193,SOC,Apron,Documentation,Terjadi kesalahan input data penumpang pada sistem DCS sehingga boarding pass tidak valid. Kejadian terjadi pada pukul 05:30 WIB.,Communication Failure,No-Show Record,CLOSED
2026-02-12,SJ,SJ543,MDC,Landside,Baggage,Penumpang melaporkan koper tidak ditemukan di belt bagasi setelah penerbangan SJ543. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Communication Failure,Excess Baggage,PENDING
2026-02-12,ID,ID647,CGK,Terminal 1,Equipment,Pushback tractor mengalami kerusakan mendadak sehingga proses pushback terpaksa ditunda. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Procedure Non-Compliance,GPU Failure,RESOLVED
2026-02-14,IN,IN580,PLM,Terminal 1,Baggage,"Bagasi terlambat tiba, ketinggalan penerbangan sebelumnya akibat kapasitas berlebih.",High Volume,Lost & Found,CLOSED
2026-02-15,SJ,SJ571,PKU,Landside,Ramp,Terjadi benturan antara Ground Support Equipment (GSE) dan fuselage pesawat saat parking.,Equipment Malfunction,Spill/Leak,PENDING
2026-02-17,IW,IW617,SOC,Landside,Baggage,"Bagasi penumpang ditemukan rusak, handle patah dan zipper terbuka saat tiba di SOC.",Conveyor Belt Malfunction,Lost & Found,CLOSED
2026-02-17,QG,QG443,DPS,Terminal 2,Documentation,Penumpang no-show tidak tercatat dengan benar sehingga bagasi tidak di-offload tepat waktu. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Procedure Non-Compliance,Weight & Balance Error,OPEN
2026-02-17,IW,IW341,PKU,Terminal 2,Baggage,"Bagasi penumpang ditemukan rusak, handle patah dan zipper terbuka saat tiba di PKU.",Incorrect Tag,Delayed Baggage,OPEN
2026-02-18,QG,QG765,CGK,Terminal 1,Documentation,Manifest penumpang tidak lengkap saat diserahkan ke pihak kru sebelum keberangkatan. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Communication Failure,DCS Error,OPEN
2026-02-18,IN,IN164,PLM,Terminal 1,Equipment,Pushback tractor mengalami kerusakan mendadak sehingga proses pushback terpaksa ditunda. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Maintenance Overdue,Catering Truck Delay,RESOLVED
2026-02-18,SJ,SJ368,DPS,Terminal 1,Passenger,Penumpang bersikap tidak kooperatif dan menolak mengikuti prosedur keamanan bandara. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,System Error,WCHR Request,PENDING
2026-02-19,IW,IW529,BPN,Landside,Passenger,Penumpang bersikap tidak kooperatif dan menolak mengikuti prosedur keamanan bandara. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,System Error,Unruly Passenger,RESOLVED
2026-02-21,ID,ID941,PKU,Airside,Baggage,"Bagasi penumpang ditemukan rusak, handle patah dan zipper terbuka saat tiba di PKU. Kejadian terjadi pada pukul 17:30 WIB.",Human Error,Delayed Baggage,OPEN
2026-02-21,ID,ID576,UPG,Airside,Baggage,"Bagasi terlambat tiba, ketinggalan penerbangan sebelumnya akibat kapasitas berlebih.",High Volume,Misrouted Baggage,CLOSED
2026-02-21,JT,JT606,PLM,Terminal 3,Passenger,Penumpang bersikap tidak kooperatif dan menolak mengikuti prosedur keamanan bandara.,External Factor,WCHR Request,PENDING
2026-02-22,JT,JT880,SUB,Landside,Documentation,Penumpang no-show tidak tercatat dengan benar sehingga bagasi tidak di-offload tepat waktu.,System Error,Weight & Balance Error,RESOLVED
2026-02-22,SJ,SJ953,PKU,Apron,Ramp,Ditemukan benda asing (FOD) berupa baut logam di area apron sebelum pushback pesawat SJ953. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,External Factor,Equipment Damage,CLOSED
2026-02-22,IN,IN105,DPS,Terminal 2,Documentation,Penumpang no-show tidak tercatat dengan benar sehingga bagasi tidak di-offload tepat waktu.,Training Gap,Incorrect Boarding Pass,OPEN
2026-02-23,GA,GA806,PLM,Terminal 2,Ramp,Petugas tidak berkepentingan terdeteksi memasuki area restricted ramp tanpa izin. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Training Gap,Spill/Leak,OPEN
2026-02-24,SJ,SJ114,KNO,Terminal 1,Documentation,Penumpang no-show tidak tercatat dengan benar sehingga bagasi tidak di-offload tepat waktu.,Communication Failure,Missing Manifest,CLOSED
2026-02-27,ID,ID489,KNO,Landside,Documentation,Penumpang no-show tidak tercatat dengan benar sehingga bagasi tidak di-offload tepat waktu. Kejadian terjadi pada pukul 20:00 WIB.,Communication Failure,DCS Error,PENDING
2026-02-27,JT,JT144,DPS,Apron,Equipment,Catering truck terlambat tiba di pesawat sehingga menyebabkan keterlambatan keberangkatan.,Maintenance Overdue,Airbridge Malfunction,CLOSED
2026-02-28,QG,QG502,PLM,Terminal 2,Equipment,"GPU tidak berfungsi saat dibutuhkan untuk power pesawat sebelum APU start, menyebabkan delay.",Equipment Malfunction,Catering Truck Delay,CLOSED
2026-03-02,JT,JT577,MDC,Terminal 2,Passenger,Penumpang ditolak boarding karena dokumen perjalanan tidak lengkap atau tidak valid.,External Factor,Unruly Passenger,OPEN
2026-03-02,SJ,SJ645,PLM,Terminal 3,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Policy Non-Compliance,Special Assistance,PENDING
2026-03-02,IN,IN289,SOC,Terminal 1,Passenger,Penumpang bersikap tidak kooperatif dan menolak mengikuti prosedur keamanan bandara.,Human Error,Unruly Passenger,CLOSED
2026-03-03,GA,GA719,SUB,Terminal 1,Documentation,Terdapat selisih data berat muatan antara load sheet dan data aktual di bagasi hold. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Communication Failure,Missing Manifest,CLOSED
2026-03-03,JT,JT434,CGK,Terminal 1,Ramp,Tumpahan bahan bakar avtur terdeteksi di area apron setelah proses refueling selesai. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Equipment Malfunction,Unauthorized Access,PENDING
2026-03-04,JT,JT305,SUB,Apron,Equipment,Pushback tractor mengalami kerusakan mendadak sehingga proses pushback terpaksa ditunda. Petugas yang bertugas langsung melaporkan ke supervisor shift.,External Factor,Belt Loader Issue,CLOSED
2026-03-05,IN,IN439,UPG,Terminal 2,Ramp,Clearance sayap pesawat terlalu dekat dengan garbarata saat proses docking berlangsung.,External Factor,Wing Clearance,OPEN
2026-03-06,QG,QG823,KNO,Landside,Passenger,Permintaan kursi roda untuk penumpang berkebutuhan khusus tidak tertangani sesuai SOP. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Policy Non-Compliance,Unruly Passenger,PENDING
2026-03-09,QG,QG760,BPN,Terminal 2,Equipment,Garbarata tidak dapat bergerak normal saat proses docking akibat kerusakan motor penggerak.,Human Error,GPU Failure,PENDING
2026-03-10,SJ,SJ928,PKU,Terminal 2,Ramp,Petugas tidak berkepentingan terdeteksi memasuki area restricted ramp tanpa izin. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Training Gap,Spill/Leak,OPEN
2026-03-10,IW,IW334,BPN,Landside,Passenger,Penumpang bersikap tidak kooperatif dan menolak mengikuti prosedur keamanan bandara. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Communication Failure,Unruly Passenger,OPEN
2026-03-10,JT,JT775,PLM,Terminal 1,Ramp,Ditemukan benda asing (FOD) berupa baut logam di area apron sebelum pushback pesawat JT775.,Equipment Malfunction,Equipment Damage,CLOSED
2026-03-10,IW,IW546,UPG,Apron,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku. Kejadian terjadi pada pukul 15:15 WIB.,Human Error,Deportee Handling,RESOLVED
2026-03-11,GA,GA549,PKU,Apron,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Policy Non-Compliance,Unruly Passenger,CLOSED
2026-03-12,IW,IW504,UPG,Landside,Ramp,Tumpahan bahan bakar avtur terdeteksi di area apron setelah proses refueling selesai. Kejadian terjadi pada pukul 09:30 WIB.,Training Gap,Wing Clearance,PENDING
2026-03-12,ID,ID261,PLM,Terminal 3,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Human Error,Damaged Baggage,CLOSED
2026-03-12,JT,JT654,KNO,Apron,Baggage,Penumpang melaporkan koper tidak ditemukan di belt bagasi setelah penerbangan JT654. Kejadian terjadi pada pukul 07:45 WIB.,Incorrect Tag,Excess Baggage,OPEN
2026-03-15,IN,IN650,PKU,Apron,Baggage,"Bagasi penumpang ditemukan rusak, handle patah dan zipper terbuka saat tiba di PKU. Kejadian terjadi pada pukul 12:00 WIB.",Human Error,Delayed Baggage,CLOSED
2026-03-17,ID,ID535,KNO,Terminal 3,Ramp,Petugas tidak berkepentingan terdeteksi memasuki area restricted ramp tanpa izin. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Training Gap,Wing Clearance,RESOLVED
2026-03-18,IN,IN371,DPS,Apron,Baggage,"Bagasi penumpang ditemukan rusak, handle patah dan zipper terbuka saat tiba di DPS. Petugas yang bertugas langsung melaporkan ke supervisor shift.",High Volume,Excess Baggage,CLOSED
2026-03-18,IN,IN417,DPS,Airside,Ramp,Petugas tidak berkepentingan terdeteksi memasuki area restricted ramp tanpa izin. Kejadian terjadi pada pukul 17:15 WIB.,Equipment Malfunction,Wing Clearance,RESOLVED
2026-03-18,QG,QG620,MDC,Terminal 2,Equipment,Catering truck terlambat tiba di pesawat sehingga menyebabkan keterlambatan keberangkatan.,Equipment Malfunction,Airbridge Malfunction,PENDING
2026-03-23,IN,IN601,UPG,Landside,Passenger,Penumpang terlambat check-in melewati batas waktu yang ditentukan dan meminta pengecualian. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,System Error,Deportee Handling,RESOLVED
2026-03-24,IW,IW750,PLM,Terminal 3,Equipment,Catering truck terlambat tiba di pesawat sehingga menyebabkan keterlambatan keberangkatan. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Procedure Non-Compliance,Pushback Delay,CLOSED
2026-03-24,ID,ID775,CGK,Airside,Ramp,Clearance sayap pesawat terlalu dekat dengan garbarata saat proses docking berlangsung. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Training Gap,Unauthorized Access,CLOSED
2026-03-24,ID,ID141,DPS,Apron,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in.,Communication Failure,Misrouted Baggage,OPEN
2026-03-25,QG,QG231,PKU,Airside,Ramp,Ditemukan benda asing (FOD) berupa baut logam di area apron sebelum pushback pesawat QG231.,Training Gap,Wing Clearance,OPEN
2026-03-26,JT,JT620,PLM,Airside,Passenger,Penumpang terlambat check-in melewati batas waktu yang ditentukan dan meminta pengecualian. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Policy Non-Compliance,WCHR Request,RESOLVED
2026-03-26,SJ,SJ320,SOC,Terminal 2,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in.,Human Error,Lost & Found,CLOSED
2026-03-26,GA,GA719,PLM,Landside,Equipment,"Belt loader mengalami malfungsi di tengah proses loading bagasi, memperlambat keberangkatan. Kejadian terjadi pada pukul 06:45 WIB.",Maintenance Overdue,Airbridge Malfunction,CLOSED
2026-03-27,QG,QG982,PLM,Apron,Baggage,"Bagasi terlambat tiba, ketinggalan penerbangan sebelumnya akibat kapasitas berlebih.",Conveyor Belt Malfunction,Misrouted Baggage,RESOLVED
2026-03-29,IN,IN384,UPG,Terminal 2,Equipment,Catering truck terlambat tiba di pesawat sehingga menyebabkan keterlambatan keberangkatan. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Equipment Malfunction,Pushback Delay,CLOSED
2026-03-29,ID,ID459,PLM,Airside,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku.,Policy Non-Compliance,WCHR Request,CLOSED
2026-03-31,QG,QG202,UPG,Terminal 2,Documentation,Terdapat selisih data berat muatan antara load sheet dan data aktual di bagasi hold.,Procedure Non-Compliance,No-Show Record,CLOSED
2026-04-01,IW,IW416,UPG,Landside,Documentation,Terjadi kesalahan input data penumpang pada sistem DCS sehingga boarding pass tidak valid.,System Error,Missing Manifest,CLOSED
2026-04-02,GA,GA650,UPG,Landside,Equipment,Pushback tractor mengalami kerusakan mendadak sehingga proses pushback terpaksa ditunda.,Equipment Malfunction,GPU Failure,CLOSED
2026-04-02,IN,IN470,PLM,Terminal 3,Baggage,"Bagasi terlambat tiba, ketinggalan penerbangan sebelumnya akibat kapasitas berlebih. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.",Conveyor Belt Malfunction,Lost & Found,CLOSED
2026-04-04,JT,JT967,MDC,Terminal 1,Baggage,"Bagasi terlambat tiba, ketinggalan penerbangan sebelumnya akibat kapasitas berlebih. Kejadian terjadi pada pukul 06:45 WIB.",Human Error,Excess Baggage,PENDING
2026-04-04,IN,IN997,PKU,Terminal 2,Equipment,"Belt loader mengalami malfungsi di tengah proses loading bagasi, memperlambat keberangkatan.",Equipment Malfunction,Airbridge Malfunction,CLOSED
2026-04-06,SJ,SJ182,UPG,Landside,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in.,Incorrect Tag,Delayed Baggage,CLOSED
2026-04-06,IW,IW965,UPG,Apron,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku.,External Factor,WCHR Request,PENDING
2026-04-06,JT,JT505,PLM,Terminal 1,Equipment,"GPU tidak berfungsi saat dibutuhkan untuk power pesawat sebelum APU start, menyebabkan delay.",External Factor,GPU Failure,CLOSED
2026-04-06,ID,ID152,MDC,Airside,Documentation,Boarding pass diterbitkan dengan gate yang salah sehingga menyebabkan kebingungan penumpang. Kejadian terjadi pada pukul 16:30 WIB.,System Error,Weight & Balance Error,CLOSED
2026-04-07,SJ,SJ379,PKU,Terminal 3,Documentation,Manifest penumpang tidak lengkap saat diserahkan ke pihak kru sebelum keberangkatan.,Training Gap,Missing Manifest,CLOSED
2026-04-09,ID,ID783,SOC,Airside,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in.,Communication Failure,Misrouted Baggage,PENDING
2026-04-09,ID,ID726,PKU,Landside,Passenger,Penumpang ditolak boarding karena dokumen perjalanan tidak lengkap atau tidak valid.,System Error,WCHR Request,OPEN
2026-04-10,GA,GA566,CGK,Terminal 2,Baggage,Penumpang melaporkan koper tidak ditemukan di belt bagasi setelah penerbangan GA566. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,High Volume,Excess Baggage,CLOSED
2026-04-10,JT,JT227,UPG,Landside,Ramp,Petugas tidak berkepentingan terdeteksi memasuki area restricted ramp tanpa izin.,Human Error,FOD Found,PENDING
2026-04-11,IW,IW620,PLM,Terminal 1,Passenger,Penumpang bersikap tidak kooperatif dan menolak mengikuti prosedur keamanan bandara. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Policy Non-Compliance,Deportee Handling,OPEN
2026-04-11,ID,ID416,KNO,Landside,Ramp,Clearance sayap pesawat terlalu dekat dengan garbarata saat proses docking berlangsung.,Human Error,FOD Found,RESOLVED
2026-04-13,IN,IN685,PKU,Terminal 1,Ramp,Terjadi benturan antara Ground Support Equipment (GSE) dan fuselage pesawat saat parking.,Equipment Malfunction,Unauthorized Access,CLOSED
2026-04-15,JT,JT577,BPN,Apron,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in.,Incorrect Tag,Excess Baggage,CLOSED
2026-04-15,IW,IW408,KNO,Landside,Passenger,Penumpang ditolak boarding karena dokumen perjalanan tidak lengkap atau tidak valid.,External Factor,Unruly Passenger,OPEN
2026-04-17,IN,IN648,KNO,Terminal 1,Passenger,Penumpang terlambat check-in melewati batas waktu yang ditentukan dan meminta pengecualian. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Human Error,Unruly Passenger,OPEN
2026-04-18,IW,IW963,MDC,Terminal 2,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in. Kejadian terjadi pada pukul 14:00 WIB.,Communication Failure,Delayed Baggage,RESOLVED
2026-04-19,QG,QG672,DPS,Terminal 1,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in. Kejadian terjadi pada pukul 07:45 WIB.,Conveyor Belt Malfunction,Misrouted Baggage,RESOLVED
2026-04-19,IN,IN391,MDC,Terminal 1,Passenger,Penumpang bersikap tidak kooperatif dan menolak mengikuti prosedur keamanan bandara. Petugas yang bertugas langsung melaporkan ke supervisor shift.,System Error,Unruly Passenger,OPEN
